year,state,state_code,county,candidate,party,candidate_votes,total_votes
2012,Colorado,CO,La Plata,Mitt Romney,republican,12794.0,29184
2012,Colorado,CO,Larimer,Barack Obama,democrat,92747.0,180180
2012,Colorado,CO,Larimer,Mitt Romney,republican,82376.0,180180
2012,Colorado,CO,Las Animas,Barack Obama,democrat,3445.0,6862
2012,Colorado,CO,Las Animas,Mitt Romney,republican,3263.0,6862
2012,Colorado,CO,Lincoln,Barack Obama,democrat,552.0,2287
2012,Colorado,CO,Lincoln,Mitt Romney,republican,1687.0,2287
2012,Colorado,CO,Logan,Barack Obama,democrat,2712.0,9124
2012,Colorado,CO,Logan,Mitt Romney,republican,6179.0,9124
2012,Colorado,CO,Mesa,Barack Obama,democrat,23846.0,72947
2012,Colorado,CO,Mesa,Mitt Romney,republican,47472.0,72947
2012,Colorado,CO,Mineral,Barack Obama,democrat,291.0,650
2012,Colorado,CO,Mineral,Mitt Romney,republican,344.0,650
2012,Colorado,CO,Moffat,Barack Obama,democrat,1330.0,6168
2012,Colorado,CO,Moffat,Mitt Romney,republican,4695.0,6168
2012,Colorado,CO,Montezuma,Barack Obama,democrat,4542.0,12318
2012,Colorado,CO,Montezuma,Mitt Romney,republican,7401.0,12318
2012,Colorado,CO,Montrose,Barack Obama,democrat,6138.0,20130
2012,Colorado,CO,Montrose,Mitt Romney,republican,13552.0,20130
2012,Colorado,CO,Morgan,Barack Obama,democrat,3912.0,10777
2012,Colorado,CO,Morgan,Mitt Romney,republican,6602.0,10777
2012,Colorado,CO,Otero,Barack Obama,democrat,3647.0,8192
2012,Colorado,CO,Otero,Mitt Romney,republican,4382.0,8192
2012,Colorado,CO,Ouray,Barack Obama,democrat,1646.0,3202
2012,Colorado,CO,Ouray,Mitt Romney,republican,1481.0,3202
2012,Colorado,CO,Park,Barack Obama,democrat,3862.0,9366
2012,Colorado,CO,Park,Mitt Romney,republican,5236.0,9366
2012,Colorado,CO,Phillips,Barack Obama,democrat,588.0,2265
2012,Colorado,CO,Phillips,Mitt Romney,republican,1637.0,2265
2012,Colorado,CO,Pitkin,Barack Obama,democrat,6849.0,10075
2012,Colorado,CO,Pitkin,Mitt Romney,republican,3024.0,10075
2012,Colorado,CO,Prowers,Barack Obama,democrat,1519.0,4863
2012,Colorado,CO,Prowers,Mitt Romney,republican,3230.0,4863
2012,Colorado,CO,Pueblo,Barack Obama,democrat,42551.0,76194
2012,Colorado,CO,Pueblo,Mitt Romney,republican,31894.0,76194
2012,Colorado,CO,Rio Blanco,Barack Obama,democrat,568.0,3369
2012,Colorado,CO,Rio Blanco,Mitt Romney,republican,2724.0,3369
2012,Colorado,CO,Rio Grande,Barack Obama,democrat,2478.0,5533
2012,Colorado,CO,Rio Grande,Mitt Romney,republican,2918.0,5533
2012,Colorado,CO,Routt,Barack Obama,democrat,7547.0,13317
2012,Colorado,CO,Routt,Mitt Romney,republican,5469.0,13317
2012,Colorado,CO,Saguache,Barack Obama,democrat,1864.0,2930
2012,Colorado,CO,Saguache,Mitt Romney,republican,964.0,2930
2012,Colorado,CO,San Juan,Barack Obama,democrat,266.0,506
2012,Colorado,CO,San Juan,Mitt Romney,republican,212.0,506
2012,Colorado,CO,San Miguel,Barack Obama,democrat,2992.0,4256
2012,Colorado,CO,San Miguel,Mitt Romney,republican,1154.0,4256
2012,Colorado,CO,Sedgwick,Barack Obama,democrat,419.0,1338
2012,Colorado,CO,Sedgwick,Mitt Romney,republican,881.0,1338
2012,Colorado,CO,Summit,Barack Obama,democrat,9347.0,15312
2012,Colorado,CO,Summit,Mitt Romney,republican,5571.0,15312
2012,Colorado,CO,Teller,Barack Obama,democrat,4333.0,13407
2012,Colorado,CO,Teller,Mitt Romney,republican,8702.0,13407
2012,Colorado,CO,Washington,Barack Obama,democrat,468.0,2591
2012,Colorado,CO,Washington,Mitt Romney,republican,2076.0,2591
2012,Colorado,CO,Weld,Barack Obama,democrat,49050.0,115866
2012,Colorado,CO,Weld,Mitt Romney,republican,63775.0,115866
2012,Colorado,CO,Yuma,Barack Obama,democrat,987.0,4577
